"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-06-09.nlogo"
"nu_of_neighborhoods_3_4_5_6"
"06/15/2021 17:37:16:366 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","no-of-neighborhoods","[step]","community-formation-time-list","energy-diversity","insulation-improvement","total-costs-per-household","total-co2-per-household","svo-1","svo-2","svo-3","svo-4","overall-pho-ptick-benefit","accumulated-miscomfort","count-biogas","count-tea","count-ates","count-woodpellet","count-solar","count-heatpump"
"28","4","239","[37 49 37 37]","[0.45 0.39 0.39 0.38]","[0.5066666666666668 0.5216666666666665 0.5383333333333331 0.5316666666666667]","[83.29667990015142 85.12382877708339 81.33695369673303 81.71556764475228]","[130.43172318162053 132.11485021303733 131.1464488801439 131.6128966231199]","[0.43666666666666665 0.435 0.395 0.31]","[0.25666666666666665 0.36833333333333335 0.31333333333333335 0.4216666666666667]","[0.235 0.17666666666666667 0.2733333333333333 0.23833333333333334]","[0.07166666666666667 0.02 0.018333333333333333 0.03]","[108.10961557865218 106.1478165392068 110.01216372618882 109.59623395873139]","[0.46928869840499493 1.0334462059373017 0.5257561287950562 0.37549792377381586]","[0 0 0 0]","[0 0 0 0]","[1 1 1 1]","[0 0 0 0]","[2 0 2 0]","[400 408 411 427]"
"29","4","239","[49 37 37 37]","[0.32 0.37 0.41 0.45]","[0.5483333333333333 0.5433333333333334 0.5516666666666667 0.5433333333333334]","[84.00284999122653 82.71727623705951 83.03292277755332 88.91080743137519]","[133.6510747371796 132.95092003471785 133.34016379496302 135.3561074412317]","[0.45666666666666667 0.3383333333333333 0.49833333333333335 0.2916666666666667]","[0.31 0.385 0.23333333333333334 0.3283333333333333]","[0.21666666666666667 0.24833333333333332 0.23833333333333334 0.32666666666666666]","[0.016666666666666666 0.028333333333333332 0.03 0.05333333333333334]","[107.1458973631325 108.48748349349631 108.14069745218305 102.10153730665961]","[0.6346965785445665 0.6913935036301587 0.6216040421524704 0.4797162893957978]","[0 0 0 0]","[0 0 0 0]","[1 1 1 1]","[0 0 0 0]","[2 1 1 1]","[426 431 407 394]"
"30","4","239","[37 37 37 37]","[0.18 0.44 0.44 0.32]","[0.581666666666667 0.5350000000000001 0.5216666666666665 0.5616666666666665]","[70.77028552229405 84.50531618457669 84.71598745453642 76.52947755535966]","[130.19272174999202 134.31711093341215 132.55431941477647 130.36220963773363]","[0.43166666666666664 0.495 0.44333333333333336 0.3883333333333333]","[0.3616666666666667 0.21 0.225 0.33166666666666667]","[0.19666666666666666 0.24833333333333332 0.26666666666666666 0.24666666666666667]","[0.01 0.04666666666666667 0.065 0.03333333333333333]","[120.6551300710399 106.59014827408369 106.5205003256148 114.88237900695518]","[0.4080993170985961 0.616492817068338 0.27986552072071824 0.31570544892713903]","[1 1 1 1]","[0 0 0 0]","[0 0 0 0]","[0 0 0 0]","[1 4 0 3]","[440 383 420 440]"
"32","4","239","[37 37 37 37]","[0.45 0.4 0.42 0.33]","[0.5050000000000003 0.5250000000000004 0.561666666666667 0.5416666666666665]","[85.56698307450522 82.53793261032473 89.24178301850765 79.26416257250007]","[133.88408542892816 132.3739012895384 134.57327931848883 129.4050596398876]","[0.43833333333333335 0.3416666666666667 0.41333333333333333 0.45666666666666667]","[0.28 0.3616666666666667 0.30666666666666664 0.3233333333333333]","[0.23833333333333334 0.2633333333333333 0.22666666666666666 0.195]","[0.043333333333333335 0.03333333333333333 0.05333333333333334 0.025]","[105.56312342451395 108.71298861984542 101.83318796934653 112.22426598964222]","[0.28555634962611454 0.5504453352848027 0.4151300126667663 0.26701783203515844]","[0 0 0 0]","[0 0 0 0]","[1 1 1 1]","[0 0 0 0]","[3 1 0 3]","[406 424 414 454]"
"31","4","239","[37 37 37 37]","[0.31 0.23 0.21 0.27]","[0.54 0.5733333333333333 0.585 0.5549999999999997]","[77.5603515617941 74.92818179590759 73.15337869934112 76.50226023465898]","[131.18953283197573 131.52666066948564 130.701029701397 131.37141154593763]","[0.4266666666666667 0.3516666666666667 0.46 0.38333333333333336]","[0.3466666666666667 0.425 0.33666666666666667 0.365]","[0.19333333333333333 0.21 0.18833333333333332 0.24166666666666667]","[0.03333333333333333 0.013333333333333334 0.015 0.01]","[113.78531914498117 116.39051868386686 118.2313722578804 114.82886017499942]","[0.27272733482525 0.4006033623415453 0.3167832012231958 0.5546074374341687]","[1 1 1 1]","[0 0 0 0]","[0 0 0 0]","[0 0 0 0]","[2 1 4 1]","[449 446 465 437]"
"33","4","239","[37 37 37 37]","[0.38 0.46 0.34 0.41]","[0.5066666666666668 0.5299999999999998 0.5266666666666664 0.5100000000000002]","[80.53924793746928 86.43853963634297 82.37910493264356 81.91468607900117]","[130.40355125098688 134.12334843111614 130.43971751633072 129.5527272345349]","[0.3933333333333333 0.395 0.335 0.435]","[0.37 0.35 0.3416666666666667 0.31333333333333335]","[0.17833333333333334 0.21333333333333335 0.27666666666666667 0.20333333333333334]","[0.058333333333333334 0.041666666666666664 0.04666666666666667 0.04833333333333333]","[110.86930129578504 104.67242582250124 109.02655099938328 109.5619290755694]","[0.5493489729733079 0.391175023847882 0.46903802409937434 0.5374960825817946]","[0 0 0 0]","[0 0 0 0]","[1 1 1 1]","[0 0 0 0]","[8 4 1 1]","[436 415 426 449]"
"34","4","239","[37 37 37 37]","[0.32 0.29 0.19 0.25]","[0.5533333333333332 0.541666666666667 0.5866666666666669 0.5783333333333336]","[77.50541882029894 77.7559134619694 72.31157878502411 73.96741347745952]","[129.4892797410234 131.97330143186633 129.53056699816656 129.882518683253]","[0.43333333333333335 0.57 0.43166666666666664 0.4166666666666667]","[0.27 0.195 0.3616666666666667 0.35333333333333333]","[0.25166666666666665 0.19166666666666668 0.19666666666666666 0.17833333333333334]","[0.045 0.043333333333333335 0.01 0.051666666666666666]","[113.97627213375245 113.5270557568146 119.16680918845574 117.48281836121355]","[0.7897209057598766 0.3656731866721425 0.5596922799231782 0.42008337741586155]","[1 1 1 1]","[0 0 0 0]","[0 0 0 0]","[0 0 0 0]","[2 5 1 1]","[407 429 463 423]"
"35","4","239","[37 49 37 37]","[0.33 0.41 0.37 0.46]","[0.52 0.5500000000000003 0.5150000000000001 0.5166666666666666]","[77.38760363734019 87.38884352203227 80.91951179406976 87.66500786349064]","[128.2973783347623 137.2568910958167 130.74255578566053 131.0901398576793]","[0.3466666666666667 0.3616666666666667 0.46166666666666667 0.37666666666666665]","[0.35333333333333333 0.33666666666666667 0.285 0.3016666666666667]","[0.24333333333333335 0.24833333333333332 0.19333333333333333 0.24]","[0.056666666666666664 0.05333333333333334 0.06 0.08166666666666667]","[114.18943942921227 103.47143852363578 110.46191707641067 103.68861428122831]","[1.1134471247338378 0.7097514439390569 0.8620992175921078 0.3216098858370974]","[0 0 0 0]","[0 0 0 0]","[1 1 1 1]","[0 0 0 0]","[1 2 2 3]","[419 383 440 392]"
"36","4","239","[37 37 37 37]","[0.35 0.35 0.13 0.28]","[0.5116666666666667 0.56 0.5750000000000002 0.5566666666666671]","[78.03654856425378 79.6360886758624 70.01955105741348 75.34230335776058]","[130.35031929038263 131.60975683674525 129.1817816480496 128.59150789999512]","[0.3566666666666667 0.3383333333333333 0.5 0.33166666666666667]","[0.33666666666666667 0.35833333333333334 0.34833333333333333 0.355]","[0.235 0.255 0.145 0.2866666666666667]","[0.07166666666666667 0.04833333333333333 0.006666666666666667 0.02666666666666667]","[113.376259225849 111.67596411053137 121.48673974407583 116.21120934357302]","[0.33070917892354235 0.27691442536621885 0.7042067901978064 0.34459664942237367]","[1 1 1 1]","[0 0 0 0]","[0 0 0 0]","[0 0 0 0]","[3 3 2 2]","[441 418 456 435]"
"37","4","239","[37 37 37 37]","[0.36 0.45 0.33 0.45]","[0.5016666666666669 0.5233333333333334 0.5283333333333333 0.5199999999999996]","[59.192601278718264 84.45947834615552 75.11398815565136 84.03963736839475]","[129.7690116892576 133.74476892085076 128.88458914285684 133.4600955177104]","[0.5183333333333333 0.3466666666666667 0.47333333333333333 0.49333333333333335]","[0.29833333333333334 0.31166666666666665 0.285 0.19166666666666668]","[0.145 0.30333333333333334 0.185 0.24833333333333332]","[0.03833333333333333 0.03833333333333333 0.056666666666666664 0.06666666666666667]","[132.26671111947448 106.68177347350971 116.41607804625339 107.12438832352166]","[0.52371073319357 0.41449974315123905 0.3800856171779031 0.5443947781821376]","[1 1 1 1]","[0 0 0 0]","[0 0 0 0]","[0 0 0 0]","[2 0 5 2]","[455 401 431 413]"
