"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-06-09.nlogo"
"nu_of_neighborhoods_3_4_5_6"
"06/15/2021 23:14:32:277 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","no-of-neighborhoods","[step]","community-formation-time-list","energy-diversity","insulation-improvement","total-costs-per-household","total-co2-per-household","svo-1","svo-2","svo-3","svo-4","overall-pho-ptick-benefit","accumulated-miscomfort","count-biogas","count-electricboiler","count-ates","count-woodpellet","count-solar","count-heatpump"
"22","3","239","[37 37 37]","[0.38 0.43 0.45]","[0.5466666666666669 0.5150000000000001 0.5266666666666664]","[82.51204523664336 85.2746041447502 85.35726102519241]","[134.12522238452817 130.11895026737346 133.04088384262644]","[0.3933333333333333 0.415 0.63]","[0.36 0.29833333333333334 0.135]","[0.21666666666666667 0.27 0.16166666666666665]","[0.03 0.016666666666666666 0.07333333333333333]","[108.59877030592769 106.15671316719317 105.84030160073071]","[0.4539313566338195 0.34725399099742604 0.4025061066156558]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[2 0 1]","[424 421 400]"
"23","3","239","[37 37 37]","[0.39 0.31 0.36]","[0.4850000000000003 0.5633333333333335 0.5483333333333333]","[77.77059869813685 74.66563657911914 76.81204163309336]","[130.79478073226184 131.9698289679173 131.1125395977138]","[0.345 0.4683333333333333 0.54]","[0.33 0.3283333333333333 0.22833333333333333]","[0.2783333333333333 0.18 0.16166666666666665]","[0.04666666666666667 0.023333333333333334 0.07]","[113.60665217661571 116.6176104367807 114.53978853242293]","[0.34319976089285614 0.5937631860019447 0.4210468306593253]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[0 3 5]","[433 444 409]"
"24","3","239","[37 37 37]","[0.44 0.43 0.45]","[0.5 0.521666666666667 0.5216666666666665]","[84.22691545674472 88.80491651148968 86.03468198768539]","[131.54471806901108 133.00953775347634 133.17171076111237]","[0.54 0.46 0.635]","[0.175 0.31 0.155]","[0.20666666666666667 0.21 0.125]","[0.07833333333333334 0.02 0.085]","[107.09034043106777 102.39515380156554 105.15241448475899]","[0.47350673631859475 0.22312063796718581 0.3249560357045666]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[2 2 1]","[424 440 428]"
"25","3","239","[37 37 37]","[0.43 0.31 0.42]","[0.5466666666666664 0.5716666666666668 0.5233333333333334]","[88.62831688932981 82.82702840624812 84.66575765669471]","[133.38257542202174 132.85359641404438 134.38407559621479]","[0.385 0.34833333333333333 0.4483333333333333]","[0.35833333333333334 0.425 0.305]","[0.23333333333333334 0.21 0.20833333333333334]","[0.023333333333333334 0.016666666666666666 0.03833333333333333]","[102.54191041024168 108.38551721396159 106.42434962894144]","[0.24952907977905953 0.4598637921895576 0.3800918897358953]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[0 3 3]","[420 444 425]"
"26","3","239","[37 37 37]","[0.22 0.25 0.33]","[0.5716666666666663 0.5516666666666667 0.543333333333333]","[70.7193084630948 71.84546421909286 74.03623105438943]","[128.25650481059552 129.8567771616285 129.92812769783325]","[0.4633333333333333 0.435 0.33166666666666667]","[0.33666666666666667 0.32166666666666666 0.35333333333333333]","[0.16833333333333333 0.20666666666666667 0.30333333333333334]","[0.03166666666666667 0.03666666666666667 0.011666666666666667]","[120.8610044853907 119.60682694131016 117.41035206311723]","[0.5162474568456246 0.640614477417906 0.623912377805867]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[1 1 2]","[454 447 411]"
"27","3","239","[37 37 37]","[0.33 0.34 0.23]","[0.5399999999999996 0.5366666666666666 0.5666666666666669]","[77.39073397741578 77.25747390577159 71.58019293977235]","[134.2281245203458 132.19920425943528 129.56068349721082]","[0.5433333333333333 0.465 0.43333333333333335]","[0.22666666666666666 0.2916666666666667 0.37666666666666665]","[0.17 0.20833333333333334 0.18333333333333332]","[0.06 0.035 0.006666666666666667]","[113.7118493942898 114.00742308680688 119.8957857137841]","[0.5461964602007033 0.4468460936639814 0.6829551445856725]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[3 2 0]","[410 439 461]"
"28","3","239","[37 37 37]","[0.43 0.31 0.29]","[0.5666666666666669 0.5583333333333331 0.5683333333333334]","[81.94111455775511 76.77835413003424 73.82853538787536]","[134.1393701791756 131.2822845423707 131.80194137233107]","[0.43166666666666664 0.49833333333333335 0.31]","[0.24166666666666667 0.25 0.43833333333333335]","[0.23833333333333334 0.195 0.23333333333333334]","[0.08833333333333333 0.056666666666666664 0.018333333333333333]","[109.16856916124405 114.55989643990938 117.46814263567155]","[0.5550957388218432 0.29479914403667146 0.5994514273357521]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[1 2 1]","[396 447 451]"
"29","3","239","[37 37 37]","[0.36 0.37 0.38]","[0.5333333333333332 0.5800000000000001 0.5333333333333337]","[80.7654437121166 92.08562171868627 84.50736527427678]","[129.8441942246288 133.67567414511913 129.49894572906646]","[0.6016666666666667 0.3983333333333333 0.43666666666666665]","[0.245 0.37333333333333335 0.34]","[0.13666666666666666 0.21666666666666667 0.19833333333333333]","[0.016666666666666666 0.011666666666666667 0.025]","[110.68785408324649 99.06115768303755 106.97355240073108]","[0.8351090025222268 0.3099372644992598 0.23114871772889278]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[2 0 1]","[468 445 441]"
"31","3","239","[37 37 37]","[0.36 0.3 0.39]","[0.5516666666666663 0.5599999999999996 0.5333333333333332]","[76.24136471095957 74.66928991005415 76.70965814459586]","[131.86633929614993 132.22526794706033 130.71833081080763]","[0.3016666666666667 0.45 0.34833333333333333]","[0.4116666666666667 0.34833333333333333 0.3016666666666667]","[0.2833333333333333 0.19833333333333333 0.31333333333333335]","[0.0033333333333333335 0.0033333333333333335 0.03666666666666667]","[115.05016147868179 116.59352198751436 114.67370872387283]","[0.3719343228395512 0.400112626635261 0.5814518764476171]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[0 3 3]","[438 438 418]"
"30","3","239","[37 37 37]","[0.4 0.4 0.44]","[0.5099999999999998 0.5266666666666664 0.5099999999999998]","[82.8867402000007 83.07649958065329 83.0595688710371]","[131.5080647274248 132.24607333592857 131.12879412472086]","[0.5166666666666667 0.605 0.335]","[0.2633333333333333 0.15666666666666668 0.35333333333333333]","[0.17666666666666667 0.145 0.2966666666666667]","[0.043333333333333335 0.09333333333333334 0.015]","[108.43344795513862 108.18464788580589 108.2909609323186]","[1.1932091406351053 0.21556092835839893 1.09555367691085]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[3 3 0]","[434 429 402]"
