"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-06-09.nlogo"
"co2_price_increase_001-002-003"
"06/14/2021 00:29:44:832 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","co2-tax-increase-rate","information-exchange-period","Insulation-Inputting","rewire-prob","no-of-neighborhoods","number-of-links","neighborhood-size","Value-Inputting","climate-change-scenario","gas-price-increase-scenario","annual-subsidy-budget","percentage-loss-per-svo","[step]","mean community-formation-time-list","mean energy-diversity","insulation-improvement","total-costs-per-household","direct-net-benefits-per-household","indirect-net-benefits-per-household","total-co2-per-household"
"9","0.001","7","false","0.02","5","3","600","false","high temperature rise","0.01","4","10","239","39.4","0.306","0.5316666666666667","71.65796038207509","112.39953961792472","2.383595747061919","130.16141839209496"
"10","0.001","7","false","0.02","5","3","600","false","high temperature rise","0.01","4","10","239","39.4","0.314","0.529666666666667","74.75741192332165","109.3000880766784","2.428705589612285","129.25922154108764"
"13","0.001","7","false","0.02","5","3","600","false","high temperature rise","0.01","4","10","239","44.2","0.388","0.5206666666666666","80.67035623737708","103.3871437626229","2.303902438750153","131.7552845583303"
"15","0.001","7","false","0.02","5","3","600","false","high temperature rise","0.01","4","10","239","44.2","0.388","0.5403333333333333","81.88690982192809","102.17059017807163","2.2617289079847125","132.5987551736391"
"14","0.001","7","false","0.02","5","3","600","false","high temperature rise","0.01","4","10","239","39.4","0.31799999999999995","0.5483333333333333","75.90899922329099","108.14850077670924","2.266149125659531","132.51035082014272"
"16","0.001","7","false","0.02","5","3","600","false","high temperature rise","0.01","4","10","239","39.4","0.34600000000000003","0.5413333333333332","75.74546641536804","108.3120335846319","2.3090020934360185","131.65329146461298"
"19","0.001","7","false","0.02","5","3","600","false","high temperature rise","0.01","4","10","239","44.2","0.40199999999999997","0.5266666666666668","81.47175989236058","102.58574010763971","2.2601604933732733","132.63012346586788"
"17","0.001","7","false","0.02","5","3","600","false","high temperature rise","0.01","4","10","239","39.4","0.426","0.532","83.88753571442041","100.16996428557994","2.234884486389126","133.13564360555083"
"18","0.001","7","false","0.02","5","3","600","false","high temperature rise","0.01","4","10","239","39.4","0.3","0.5646666666666667","75.62158419356591","108.43591580643401","2.3110031168877088","131.61327099557917"
"21","0.001","7","false","0.02","5","3","600","false","high temperature rise","0.01","4","10","239","39.4","0.4119999999999999","0.5253333333333337","82.52639839392526","101.53110160607486","2.217413890068454","133.48505553196426"
"20","0.001","7","false","0.02","5","3","600","false","high temperature rise","0.01","4","10","239","37","0.374","0.5419999999999998","77.43972924948218","106.61777075051788","2.265806823581066","132.51719686171202"
"23","0.001","7","false","0.02","5","3","600","false","high temperature rise","0.01","4","10","239","39.4","0.38","0.5230000000000001","80.13737583792184","103.92012416207815","2.3267459276024867","131.2984147812836"
"22","0.001","7","false","0.02","5","3","600","false","high temperature rise","0.01","4","10","239","39.4","0.304","0.5426666666666669","75.50571911744507","108.55178088255514","2.316728976757257","131.4987537981882"
"24","0.001","7","false","0.02","5","3","600","false","high temperature rise","0.01","4","10","239","41.8","0.32399999999999995","0.5386666666666668","75.5496489250216","108.50785107497815","2.3750776951332155","130.33177943066903"
"25","0.001","7","false","0.02","5","3","600","false","high temperature rise","0.01","4","10","239","41.8","0.366","0.5230000000000001","77.28013183974399","106.7773681602563","2.3407443722482713","131.01844588836792"
"26","0.001","7","false","0.02","5","3","600","false","high temperature rise","0.01","4","10","239","39.4","0.276","0.5713333333333335","74.10554936027516","109.95195063972501","2.320973699357053","131.41385934619228"
"27","0.001","7","false","0.02","5","3","600","false","high temperature rise","0.01","4","10","239","39.4","0.276","0.5563333333333333","73.63040676444257","110.42709323555718","2.362502645617771","130.58328042097793"
"28","0.001","7","false","0.02","5","3","600","false","high temperature rise","0.01","4","10","239","44.2","0.39","0.5413333333333337","82.32917697079013","101.72832302920986","2.203032114112054","133.77269105109227"
"29","0.001","7","false","0.02","5","3","600","false","high temperature rise","0.01","4","10","239","44.2","0.4159999999999999","0.525666666666667","82.88832864251194","101.16917135748788","2.293254575283845","131.96824182765644"
"30","0.001","7","false","0.02","5","3","600","false","high temperature rise","0.01","4","10","239","44.2","0.37399999999999994","0.5363333333333333","80.57353721395219","103.4839627860476","2.3103136658287755","131.62706001675784"
"31","0.001","7","false","0.02","5","3","600","false","high temperature rise","0.01","4","10","239","44.2","0.384","0.5243333333333333","82.47987926357786","101.57762073642209","2.2666039540095184","132.50125425314297"
