"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-05-28.nlogo"
"nu_of_neighborhoods_4_6_8"
"06/06/2021 23:04:33:614 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","co2-tax-increase-rate","information-exchange-period","Insulation-Inputting","rewire-prob","no-of-neighborhoods","number-of-links","neighborhood-size","Value-Inputting","climate-change-scenario","gas-price-increase-scenario","annual-subsidy-budget","percentage-loss-per-svo","[step]","mean community-formation-time-list","mean energy-diversity","insulation-improvement","total-costs-per-household","direct-net-benefits-per-household","indirect-net-benefits-per-household","total-co2-per-household"
"29","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","37","0.3225","0.5310714285714284","58.87916508045518","26.654838632611526","0.10100137333613901","128.31876548962637"
"31","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","55","0.3025","0.5457142857142854","62.8243373507706","24.74323886913076","0.09751005071905183","131.5632362624047"
"30","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","40","0.33","0.5471428571428572","60.33340623089454","26.781404947166937","0.11148035726582323","130.55475947174727"
"32","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","55","0.35","0.5328571428571429","63.24601220989725","24.641139830013785","0.09467837087674269","132.07857685329833"
"33","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","37","0.37","0.5214285714285714","60.19431753101202","26.602909409764248","0.11263468534272932","130.01380021675678"
"34","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","37","0.28250000000000003","0.5617857142857146","58.634681555867836","28.135710630008933","0.12454485430041445","129.76670871756326"
"35","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","37","0.365","0.5425","59.91479938364073","27.212304621847135","0.11602281941043345","130.44879242131512"
"36","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","37","0.33999999999999997","0.54","59.58036773544887","27.56789176521385","0.11113369840621204","130.5973141519155"
"37","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","37","0.35","0.535714285714286","60.0020478088631","27.211991680998917","0.12669644146504597","130.37749520343746"
"39","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","37","0.375","0.5289285714285712","60.22888966616625","26.414302489339875","0.09786774191008477","130.0741223691394"
"38","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","37","0.31","0.5507142857142857","59.22887338188984","27.456176774259507","0.11038945081893417","129.9116810233036"
