"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-06-20.nlogo"
"nu_of_neighborhoods_3_4_5_6"
"06/22/2021 14:06:56:710 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","no-of-neighborhoods","[step]","community-formation-time-list","subsidy-application-time","energy-diversity","total-costs-per-household","total-co2-per-household","svo-1","svo-2","svo-3","svo-4","overall-pho-ptick-benefit","accumulated-miscomfort","count-biogas","count-electricboiler","count-ates","count-woodpellet","count-solar","count-heatpump"
"21","3","239","[37 37 37]","[15 14 15]","[0.33 0.55 0.27]","[88.81422212381024 96.94799140094895 87.7979047973052]","[135.69440411137242 142.47668427082186 136.8609115582432]","[0.355 0.38666666666666666 0.4633333333333333]","[0.37833333333333335 0.35 0.3383333333333333]","[0.245 0.23333333333333334 0.17833333333333334]","[0.021666666666666667 0.03 0.02]","[73.26522554727998 64.5888738573853 74.18822227803533]","[0.9781339654320812 0.8913809538156628 0.6351935739538394]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[2 2 2]","[376 336 409]"
"22","3","239","[37 37 49]","[15 15 15]","[0.35 0.34 0.34]","[89.3229022128559 90.58986909570612 94.01162963298269]","[136.6969122143127 138.66180988411617 140.73777247125932]","[0.3933333333333333 0.41333333333333333 0.4166666666666667]","[0.33666666666666667 0.3616666666666667 0.32]","[0.23666666666666666 0.17333333333333334 0.235]","[0.03333333333333333 0.051666666666666666 0.028333333333333332]","[72.67634480999916 71.25218611356456 67.6643485693168]","[1.4192601568792291 0.5087500407242833 0.8875188948282275]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[4 2 7]","[343 408 342]"
"23","3","239","[37 37 37]","[15 14 15]","[0.3 0.64 0.28]","[88.17830642335377 95.78669574813992 89.54723292091177]","[138.19620314235485 142.00692201326717 138.85054061420757]","[0.35 0.31 0.44666666666666666]","[0.43666666666666665 0.385 0.3433333333333333]","[0.20166666666666666 0.2816666666666667 0.19]","[0.011666666666666667 0.023333333333333334 0.02]","[73.70099732525784 65.78775049079879 72.27972382995166]","[1.1881347796904425 1.4163924849192566 0.6431419232336331]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[3 2 1]","[358 331 403]"
"24","3","239","[37 37 37]","[15 15 14]","[0.35 0.28 0.47]","[89.3468033869435 92.1563736000727 95.4688126017836]","[137.83066674827953 140.4667365391112 141.5111219387286]","[0.36666666666666664 0.3466666666666667 0.44166666666666665]","[0.355 0.4066666666666667 0.185]","[0.255 0.24 0.26166666666666666]","[0.023333333333333334 0.006666666666666667 0.11166666666666666]","[72.5617432731941 69.54128747679839 66.14529764311824]","[1.048401414658144 0.7376004926916037 0.7202722282487064]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[1 2 2]","[374 389 368]"
"25","3","239","[37 37 37]","[15 15 15]","[0.34 0.24 0.19]","[92.4236033131248 89.08731041308698 91.1313686970806]","[140.1679322010795 139.16965843092447 138.31170315265626]","[0.4683333333333333 0.4583333333333333 0.4533333333333333]","[0.25 0.3383333333333333 0.365]","[0.24333333333333335 0.185 0.16]","[0.03833333333333333 0.018333333333333333 0.021666666666666667]","[69.29796211078889 72.71411691243902 70.73869505070682]","[1.1536613931928899 0.7745562926335302 0.8562453349750823]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[3 4 2]","[377 401 405]"
"26","3","239","[37 37 37]","[14 15 15]","[0.46 0.31 0.22]","[94.38540219998754 89.53145750172318 89.7884496257428]","[142.12853462656943 138.19549026085156 140.86456583074227]","[0.4633333333333333 0.395 0.415]","[0.325 0.37333333333333335 0.37166666666666665]","[0.18 0.20333333333333334 0.19666666666666666]","[0.03166666666666667 0.028333333333333332 0.016666666666666666]","[67.179315029887 72.34790327740878 71.87738510779776]","[0.7274387084469912 0.9670672383609413 0.7384562340843819]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[2 1 0]","[372 394 402]"
"27","3","239","[37 37 37]","[14 14 15]","[0.65 0.53 0.31]","[97.96725054436551 96.10924303911636 91.40240170691729]","[143.03966525097553 142.9691378067883 139.83335326456626]","[0.3 0.435 0.31666666666666665]","[0.21333333333333335 0.33 0.405]","[0.44166666666666665 0.18166666666666667 0.24666666666666667]","[0.045 0.05333333333333334 0.03166666666666667]","[63.5245762355565 65.38822593634063 70.34593003191758]","[1.194765386054438 0.6482689736219488 0.8796331009484519]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[2 1 1]","[315 356 371]"
"28","3","239","[37 37 37]","[14 15 15]","[0.57 0.39 0.37]","[97.66160974476648 94.11732658659982 93.16038333813759]","[140.4840776495905 140.4086768589514 140.6650450022596]","[0.3433333333333333 0.39666666666666667 0.44166666666666665]","[0.26166666666666666 0.31333333333333335 0.2683333333333333]","[0.29333333333333333 0.24166666666666667 0.25833333333333336]","[0.10166666666666667 0.04833333333333333 0.03166666666666667]","[64.03466404326625 67.5849792646841 68.52141306168167]","[1.2212713668554351 0.791115387342474 0.6713064138822513]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[2 5 0]","[310 360 383]"
"29","3","239","[37 37 37]","[15 15 14]","[0.3 0.34 0.53]","[90.35596929731923 91.70560420408923 92.79749306827814]","[138.90771836016222 138.06327054633965 138.78746038687163]","[0.585 0.435 0.36]","[0.215 0.2866666666666667 0.355]","[0.15666666666666668 0.23333333333333334 0.24833333333333332]","[0.043333333333333335 0.045 0.03666666666666667]","[71.46641323386774 70.18433415220368 69.03451010077221]","[0.6235517296006602 0.6848118538885981 1.1949876804340331]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[3 4 1]","[422 399 335]"
"30","3","239","[37 37 37]","[15 14 14]","[0.22 0.53 0.41]","[88.14361150342256 94.03650001533501 92.19675059494068]","[137.24767237905152 140.85296047529692 141.17588505936237]","[0.5266666666666666 0.375 0.455]","[0.28 0.33 0.3516666666666667]","[0.16 0.26 0.17333333333333334]","[0.03333333333333333 0.035 0.02]","[73.81157470625334 67.6302631466411 69.44417860031042]","[0.49979377610909875 0.9935906862543905 0.8944169098843509]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[1 2 3]","[427 337 379]"
"31","3","239","[37 37 37]","[15 15 14]","[0.34 0.42 0.38]","[90.62311443816289 92.07174504687694 89.570884602923]","[137.9849644290501 141.28542337523936 138.73548428182306]","[0.5333333333333333 0.32 0.37]","[0.23333333333333334 0.38 0.4216666666666667]","[0.18333333333333332 0.2733333333333333 0.19166666666666668]","[0.05 0.02666666666666667 0.016666666666666666]","[71.27308840751311 69.56042108310389 72.26527665453115]","[0.3868522219325243 1.3813317133109522 0.9368882019767181]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[1 1 2]","[406 336 383]"
"32","3","239","[37 37 37]","[15 15 14]","[0.38 0.32 0.41]","[90.9560755929392 87.56651690380778 90.94313762556463]","[137.52892345394514 136.9344422744467 140.2136726104872]","[0.34 0.25666666666666665 0.485]","[0.31833333333333336 0.48833333333333334 0.3]","[0.30833333333333335 0.24833333333333332 0.195]","[0.03333333333333333 0.006666666666666667 0.02]","[70.97661053074513 74.41372771423659 70.77476856559635]","[1.348761259526648 0.9809257135028725 0.7128625228948545]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 3]","[340 377 344]"
"34","3","239","[37 37 37]","[15 14 14]","[0.32 0.43 0.59]","[91.12038781684087 92.35862112656989 97.56636947581721]","[139.23933442252297 139.8471538069282 142.40418731682507]","[0.42333333333333334 0.48833333333333334 0.3466666666666667]","[0.35333333333333333 0.25666666666666665 0.3233333333333333]","[0.19333333333333333 0.195 0.2916666666666667]","[0.03 0.06 0.03833333333333333]","[70.67546542935747 69.3886065688758 63.976295538836936]","[0.5252895565492974 1.024545563877223 1.2576087435709515]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[1 2 1]","[412 356 318]"
"36","3","239","[37 37 37]","[15 15 14]","[0.25 0.4 0.55]","[88.90437459613382 92.97328697380138 96.49978297625185]","[138.21841348722933 140.59239136881234 142.66115689067612]","[0.43166666666666664 0.44666666666666666 0.40166666666666667]","[0.365 0.31 0.32166666666666666]","[0.17 0.21 0.24166666666666667]","[0.03333333333333333 0.03333333333333333 0.035]","[72.97315232488782 68.71432171669358 65.02232447249412]","[0.6438150667288853 0.7351615598288198 1.007692256584242]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[0 1 1]","[410 376 325]"
"33","3","239","[37 37 49]","[15 15 15]","[0.34 0.31 0.37]","[88.67840032657573 90.34243074384914 94.89573428950276]","[136.6568789558492 139.67900115145653 144.18346340045545]","[0.28833333333333333 0.435 0.49166666666666664]","[0.4266666666666667 0.32666666666666666 0.24833333333333332]","[0.26666666666666666 0.19 0.23666666666666666]","[0.018333333333333333 0.04833333333333333 0.023333333333333334]","[73.32404935695632 71.41824916403436 66.5045886384608]","[1.1884156264143404 0.916489076872926 1.2581019621031089]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[2 2 2]","[360 404 338]"
"35","3","239","[37 37 37]","[14 15 15]","[0.48 0.3 0.34]","[92.96465578654278 90.98993186172576 93.6077250145429]","[139.94070169207492 138.6135544688367 143.38636527575682]","[0.43833333333333335 0.49 0.4716666666666667]","[0.30333333333333334 0.30333333333333334 0.285]","[0.215 0.17666666666666667 0.20166666666666666]","[0.043333333333333335 0.03 0.041666666666666664]","[68.77508807809137 70.85598378076732 67.8563657633966]","[1.1938510288422 0.5142102426024338 0.5567514824426555]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[2 0 1]","[330 413 404]"
