"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-05-28.nlogo"
"gas_price_increase_0005-002"
"06/07/2021 00:25:28:882 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","co2-tax-increase-rate","information-exchange-period","Insulation-Inputting","rewire-prob","no-of-neighborhoods","number-of-links","neighborhood-size","Value-Inputting","climate-change-scenario","gas-price-increase-scenario","annual-subsidy-budget","percentage-loss-per-svo","[step]","mean community-formation-time-list","mean energy-diversity","insulation-improvement","total-costs-per-household","direct-net-benefits-per-household","indirect-net-benefits-per-household","total-co2-per-household"
"37","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.324","0.556","59.25598946937706","27.249131251911088","0.10559724464854413","129.73242671417177"
"40","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","51.4","0.37200000000000005","0.5394285714285716","63.17783856028328","24.93491614602367","0.09564480266752895","132.38018854982408"
"39","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","53.8","0.32399999999999995","0.5462857142857143","62.13459440031117","25.52677922917055","0.09466198570469118","131.71462379781082"
"41","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.336","0.5408571428571429","59.640166873496796","27.03576697552426","0.09791528756779827","130.13599373277123"
"42","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.32599999999999996","0.5471428571428567","59.510810570025846","27.407225944587477","0.10679261748690722","130.33478725343613"
"43","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.346","0.5457142857142858","59.33311961370777","26.506760630326497","0.1148484496991003","128.51693231554177"
"44","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.32199999999999995","0.5477142857142856","59.411819378028135","27.205762283140654","0.11250203146939697","129.75546994600896"
"46","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.334","0.5477142857142856","59.71723170850718","27.76696909208913","0.11371443701519297","131.0559727279503"
"45","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.34800000000000003","0.5465714285714287","59.89909187771747","26.810868547747305","0.09682360731204086","130.2063762664577"
"48","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","61","0.42400000000000004","0.5297142857142854","62.0223568817924","27.291257701753644","0.09228220239816097","134.3225492060051"
